rank,name,result,citizen_of,competition,year
341,Caleb Kinman,8.18,United States,Music City Speedsolving 2019,2019
341,Daniel Vædele Egdal,8.18,Denmark,Østerhøj Open 2019,2019
341,Mason Witt,8.18,United States,Boise 2019,2019
341,Om Joshi,8.18,United States,Houston Winter 2020,2020
341,Pedro Alejandro Condo Tellez,8.18,Peru,Comas Speedsolving 2019,2019
341,Shonathon Collins,8.18,United States,Howdy Partner 2018,2018
341,Takuya Kurokawa (黒河拓也),8.18,Japan,Japan Championship 2019,2019
348,Abdelhak Kaddour,8.19,France,Open de Lumes 2019,2019
348,Alessio Giuliano,8.19,Switzerland,Swisscubing Cup III 2019,2019
348,Eder Olivencia Gonzalez,8.19,Spain,Basauri Open 2019,2019
348,Kieran Dizon,8.19,United States,Rocky Top 2018,2018
348,Luke Van Laningham,8.19,United States,Bulldog Qualifier 2019,2019
353,Alexis Rodrigo Cazu Mendoza,8.20,Mexico,Plata Taxco Open 2018,2018
353,Andy Smith,8.20,United States,For The Love Of Cubing 2016,2016
353,Anish Rajesh,8.20,India,CMI Tessellate Cube Open 2020,2020
353,Ho Hsieh (謝合),8.20,Taiwan,Pingtung Cubing Open 2020,2020
353,Karl Taagaard Hansen,8.20,Denmark,Tårnby Cube Træf 2018,2018
353,Sandy Aaron Jones,8.20,France,Cubing with the Viking 2020,2020
359,Andrew Bae,8.21,United States,Babylon Winter 2020,2020
359,Frank Zhou,8.21,United States,SBU Spring 2019,2019
359,Hubert Kwasigroch,8.21,Poland,GLS Cup I 2018,2018
359,Jeff Oneil Magallanes Agüero,8.21,Peru,La Tienda Cubera Christmas 2019,2019
359,Lim Hung (林弘),8.21,Malaysia,Medan Lunar New Year 2020,2020
359,Micah Walker,8.21,United States,Garrettsville G-Men Classic 2019,2019
359,Robert Yau,8.21,United Kingdom,Berkeley Summer 2013,2013
359,Smeling Becerra,8.21,Peru,Salesianos Open 2018,2018
359,Xulang Li (黎旭朗),8.21,China,WCA World Championship 2019,2019
359,Yu Da-Hyun (유다현),8.21,Republic of Korea,Cubedu Korea 2018,2018
369,Austin Moore,8.22,United States,St. Boois 2017,2017
369,Dan Pastushkov,8.22,United States,SacCubing IX 2020,2020
369,Luke Jankowiak,8.22,Canada,Downtown Vancouver Summer 2019,2019
369,Toni Beljo,8.22,Croatia,Norrkubing 2019,2019
369,Xuming Wang (王旭明),8.22,China,Ezhou Open 2019,2019
374,Daniel Josué Sandí Alvarado,8.23,Costa Rica,Score Cube Day 2020,2020
374,Itthikorn Jittaveeroj (อิทธิกร จิตทวีโรจน์),8.23,Thailand,Japan Championship 2019,2019
376,Andrés Irías Li,8.24,Costa Rica,Cubing Heredia 2019,2019
376,Harris Chan,8.24,Canada,Sherwood Park Summer 2019,2019
376,Kunal Oak,8.24,India,BU Cube Open 2020,2020
376,Michał Krasowski,8.24,Poland,LLS IV 2019,2019
