rank,name,result,citizen_of,competition,year 
8123,Kaushik Sarma,12.58,India,4th Guwahati Open 2018,2018
8123,Kayle Dharmadasa,12.58,Australia,Horsham 2019,2019
8123,Matheus Peres Albuquerque,12.58,Brazil,IFAM Open 2019,2019
8123,Mattia Francardi,12.58,Italy,Italian Championship 2016,2016
8123,Nguyễn Thanh Ly,12.58,Vietnam,Hanoi Open 2011,2011
8123,Nikko Gammad,12.58,Philippines,Philippine Championship 2019,2019
8123,Nikolay Mityakin,12.58,Russia,Saratov Winter Open 2017,2017
8123,Quentin Lefebvre,12.58,France,Strasbourg Open 2016,2016
8123,Robertas Šatkevič,12.58,Lithuania,Vilnius Open 2017,2017
8123,Ryan Schock,12.58,United States,Sioux Fall 2019,2019
8123,Samuel Pereira,12.58,Venezuela,Caracolí Open 2019,2019
8123,Shanshan Wang (王姗姗),12.58,China,Hangzhou Open 2019,2019
8123,Thanawat Silanon (ธนวัฒน์ ศิลานนท์),12.58,Thailand,Thailand 10th Anniversary 2019,2019
8123,Vaishnav Nitesh,12.58,India,Sri Ramachandra Cube Open 2019,2019
8123,Viktor Pearl,12.58,United States,Constitution State Winter 2020,2020
8123,Weiqian Lin (林炜乾),12.58,China,Yunnan Open 2019,2019
8123,Wojciech Rogoziński,12.58,Poland,LLS III v2 2020,2020
8123,Xiangguo Cheng (程祥果),12.58,China,Heze Open 2019,2019
8123,Xumin Chen (陈旭敏),12.58,China,Xiamen Open 2019,2019
8123,Yuki Nomura (野村優希),12.58,Japan,Kansai Summer 2019,2019
8156,Abhiraj Darbari,12.59,India,Shri Ram Cubing Challenge 2018,2018
8156,Andres Vanegas Velandia,12.59,Colombia,Melgar 2015,2015
8156,Carl Jansen Dela Cruz,12.59,Philippines,Philippine Championship 2017,2017
8156,Christian Lacquio,12.59,Philippines,Antipolo City Cube Open II 2019,2019
8156,Gabriel Alejandro Gómez Aguilar,12.59,Mexico,CUCEI Championship 2014,2014
8156,Huang Weijie,12.59,Singapore,NUS 2011,2011
8156,Jeremy Sheng,12.59,United States,Fort Worth Fall Fiesta 2019,2019
8156,Julian Galliano,12.59,Italy,Finnish Championship 2019,2019
8156,Juuso Suutari,12.59,Finland,Nordic Championship 2019,2019
8156,Kelan Ly,12.59,United States,CubeChella 2018,2018
8156,Kelsey McKenna,12.59,Ireland,Northern Irish Open 2013,2013
8156,Kole Hedrick,12.59,United States,ChicaGhosts 2017,2017
8156,Lala Abbasova,12.59,Russia,MPEI Open 2017,2017
8156,Léo Trehen,12.59,France,Nantes Open 2018,2018
8156,Li Pak Him (李柏謙),12.59,Hong Kong,Shenzhen Open 2019,2019
8156,Matthew Yep,12.59,Canada,Vancouver Summer 2012,2012
8156,Michał Mielniczek,12.59,Poland,SLS Gliwice 2017,2017
8156,Parsa Irani (پارسا ایرانی),12.59,Iran,Chekaad Summer 2019,2019
8156,Parth Sachin Surelia,12.59,India,Amalthea Open 2019,2019
8156,Patrick Harnisch,12.59,Germany,Spanish Championship 2012,2012
8156,Tate Page,12.59,New Zealand,Oceania 10th Anniversary 2019,2019
8156,Thomas Imada,12.59,Canada,Newmarket Open 2019,2019
8156,Tse-Kan Lin (林哲侃),12.59,Taiwan,Taiwan Winter 2012,2012
8156,Uladzislau Ushakov (Владислав Ушаков),12.59,Belarus,PSU Open 2016,2016
8156,Valentinus Christiano,12.59,Indonesia,Malaysia Cube Championship 2019,2019
8156,Xander Lim Dao Han,12.59,Singapore,Singapore Championship 2018,2018
8156,Xiaoming Zhang (张笑铭),12.59,China,Mudanjiang Open 2018,2018
8156,Xing Zhou (周星),12.59,China,Lanzhou Autumn 2019,2019
8156,Zhibin Jia (贾誌彬),12.59,China,Ordos Winter 2020,2020
8156,Zimin Deng (邓子敏),12.59,China,Zhanjiang Open 2018,2018
8186,Aaron Rinehart,12.60,United States,Penn Cube Day Fall 2018,2018
8186,Alexander Aronsson,12.60,Sweden,Kubkvarna Winter 2019,2019
8186,Allan Cardona Peñafiel,12.60,Ecuador,Rubik Ec Open 2017,2017
8186,Atharva R. Bhat,12.60,India,Forum Monsoon Open 2019,2019
8186,Bo Pang (逄博),12.60,China,Qingdao Prime Numbers 2017,2017
8186,Brayden Gordley,12.60,United States,Bekubes Plaza Real Alajuela 2019,2019
8186,Bryam Sandoval,12.60,Chile,Chileno de Invierno 2015,2015
8186,Chengzhang Lin (林成璋),12.60,China,Quanzhou Open 2019,2019
8186,Christian Woo,12.60,United States,Lower Moreland Fall 2018,2018
8186,Daniel Laura,12.60,Peru,TCG Fall 2019,2019
8186,Evan Ray Weigel,12.60,United States,Small Cheese 2019,2019
8186,Harsh Maheshwari,12.60,India,DY Patil Cube Open 2020,2020
8186,Jacob Nobili,12.60,United States,Arnold Classic NA A 2020,2020
8186,Jhomaykel Javier Palacios Sandoval,12.60,Peru,A Romper Tu PB Lima 2020,2020
8186,José Pablo Palma Becerril,12.60,Mexico,Mexican Championship 2018,2018
8186,Juan Daniel Ramirez Rodriguez,12.60,Peru,Trujillo Happy New Year 2020,2020
8186,Lê Anh Tú,12.60,Vietnam,Da Nang Open 2018,2018
8186,Louis Robinson,12.60,United Kingdom,Peterborough Open 2018,2018
8186,Manuel Dominik Müller,12.60,Austria,Salzburg Open 2020,2020
8186,Matteo Colombo,12.60,Italy,Milan Summer 2016,2016
8186,Matthew Dickman,12.60,United States,Lincoln City 2019,2019
8186,Max Utri,12.60,Poland,LLS III v2 2020,2020
8186,Michał Tomański,12.60,Poland,Warszawa Open 2012,2012
8186,Nam Anh Dang,12.60,Australia,Harold Park Classic 2019,2019
8186,Nicolas Lattarulo,12.60,United States,Quinnipiac 2018,2018
8186,Qiyin Deng (邓期尹),12.60,China,Dongguan Summer 2019,2019
8186,Rafał Bednarczuk,12.60,Poland,PST Rzeszów 2019,2019
8186,Ruizhe Guo (郭睿哲),12.60,China,Xi&#39;an 10th Anniversary 2019,2019
8186,Sameer K. Sujish,12.60,India,C3 Cup Finale 2019,2019
8186,Se-jun Ahn,12.60,Republic of Korea,Korean Winter 2013,2013
8186,Sheng Xu (徐盛),12.60,China,GDSY Open 2019,2019
8186,Simon Thon,12.60,Canada,Too Mutch Cubing 2017,2017
8186,Vincent Nguyen,12.60,Australia,Melbourne Cube Days 2016,2016
8186,Xiangwei Yang (杨翔玮),12.60,China,Harbin Open 2019,2019
8186,Yiqun Liu (刘轶群),12.60,China,Qianjiang Summer Open 2018,2018
8186,Zane Carney,12.60,Australia,Australian Nationals 2012,2012
8186,Zihao Wang (王子豪),12.60,China,Qingdao Open 2018,2018
8223,Alberto Masó Molina,12.61,Spain,Spanish Championship 2017,2017
8223,An Sanghyeon,12.61,Republic of Korea,Play Cube X4 2019,2019
8223,Andy Liu,12.61,Canada,Michigan Cubing Club Gamma 2017,2017
8223,Anirban Bhattacharya,12.61,India,Rubik&#39;s Cube Mumbai Open 2016,2016
8223,Aryan Agarwal,12.61,India,IISERK Cube Open 2019,2019
8223,Cezary Mach,12.61,Poland,Polish Championship 2019,2019
8223,Cheng Yang (杨铖),12.61,China,Suzhou Open 2017,2017
8223,Colin Crosskno,12.61,United States,Grind City 2019,2019
8223,Cuauhtémoc Velasco Xolalpa,12.61,Mexico,Quetzal Cubing 2019,2019
8223,Dhyan Chalikkandy Pathrmpethu,12.61,India,KES Cube Open 2019,2019
8223,Ernesto Sebastián Portillo Aldana,12.61,Mexico,Roble Cubing Open 2019,2019
8223,Federico Ortu,12.61,Italy,No Parity Open 2014,2014
8223,Florian Schroth,12.61,Germany,Franconia Winter 2020,2020
8223,Hemara-Ussadorn Phonthaklang (เหมราอัสดร พลทะกลาง),12.61,Thailand,Bangkok Open 2019,2019
8223,Israr Rizvi,12.61,India,Raipur Cube Carnival 2019,2019
8223,Jinhao Li (李锦豪),12.61,China,Urumqi Open 2019,2019
8223,Jordan Revelo,12.61,Ecuador,Ibarra Open 2018,2018
8223,Juan Camilo Vargas,12.61,Colombia,Medellin 2013,2013
8223,Maheep Rehsia,12.61,Canada,Winnipeg Open 2018,2018
8223,Majid Alizadeh (مجید علیزاده),12.61,Iran,IP Cube Challenge 2015,2015
8223,Marco Jose Mercedes,12.61,Dominican Republic,Santo Domingo Winter 2020,2020
8223,Noah Paredes,12.61,United States,Florida Fall Fest 2019,2019
8223,Owen Littleton,12.61,United States,Santa Fe Spring 2018,2018
8223,Sijia Liu (刘思嘉),12.61,China,Hangzhou Open 2019,2019
8223,Unai Castillo Erro,12.61,Spain,Iruña Open 2020,2020
8223,Xiangrui Deng (邓翔睿),12.61,China,Shandong Open 2019,2019
8223,Yu Wang (王誉),12.61,China,Jieyang Open 2019,2019
8223,Yuji Yoon (尹 裕智),12.61,Republic of Korea,Japan Open 2010,2010
8223,Yujiang Wang (王玉江),12.61,China,Nanjing Autumn 2018,2018
8223,Yunhui Zhao (赵云晖),12.61,China,Tianjin Autumn 2019,2019
8223,Yutao Song (宋钰涛),12.61,China,Guiyang Open 2019,2019
8223,Zhao Wang (王钊),12.61,China,Guangdong Open 2018,2018
8255,Aidan Bhatnagar,12.62,United States,Bay Area Speedcubin&#39; 24 2020,2020
8255,Alan Ma,12.62,Australia,Northside Cube Days 2020,2020
8255,Andrey Andreyev (Андрей Андреев),12.62,Russia,Tomsk Cube Days 2019,2019
8255,Brian S. Degiuli,12.62,United States,AZCubing Summer 2019,2019
8255,Christian Paul Lara,12.62,Philippines,ValenZheng Cube Open 2018,2018
8255,Cris Melchor,12.62,United States,AZCubing Hamilton Winter 2018,2018
8255,Danial Armeen,12.62,Malaysia,STEM Cube Open Kuala Lumpur 2019,2019
8255,Daniel Rush,12.62,South Africa,Cape Town Summer 2020,2020
8255,Fikri Maureza Rizaldi,12.62,Indonesia,Yongjun Jakarta Speedcubing 2019,2019
8255,Hansheng Xu (徐菡声),12.62,China,Suzhou Open 2018,2018
8255,Haodong Chen (陈浩东),12.62,China,Hangzhou Autumn 2016,2016
8255,Heng Wang (王衡),12.62,China,Hefei Open 2017,2017
8255,Hugo Leonardo de Oliveira Melo,12.62,Brazil,SESC Santos 2017,2017
8255,Hunter Kasravi,12.62,United States,MCC Delta 2015,2015
8255,Jaime Calzado Gomez,12.62,Spain,Getafe Continúa 2020,2020
8255,Junyue Liu (刘俊越),12.62,China,Chengdu Open 2019,2019
8255,Kenya Harutaka (春高顕哉),12.62,Japan,Kyushu Open 2017,2017
8255,Kyle Lam,12.62,United States,Oregon 2016,2016
8255,Lim Joa Quin,12.62,Malaysia,Tangkak Perkasa 2018,2018
8255,Nguyễn Huy Hoàng,12.62,Vietnam,Buon Me Thuot Cube Day 2018,2018
8255,Shang-En Tsou (鄒尚恩),12.62,Taiwan,CK Cubing Party 2018,2018
8255,Shukun Zhang (张树坤),12.62,China,Zibo Open 2019,2019
8255,Shuo Zhang (张朔),12.62,China,Beijing Open 2018,2018
8255,Tarak Sai Musunuri,12.62,United States,Cubing ATMOSphere 2019,2019
8255,Timothy Townley,12.62,United States,Pittsburgh Spring 2019,2019
8255,Tran Ngo Phat Dat,12.62,Vietnam,Ho Chi Minh City Open 2019,2019
8255,Yanwei Dong (董衍伟),12.62,China,Tianjin Open 2012,2012
8255,Yue Liu (刘乐),12.62,China,China Championship 2017,2017
8283,Alyssa Bell,12.63,United States,Petoskey Cubing 2016,2016
8283,Chu Ngọc Quang,12.63,Vietnam,Ha Noi Championship 2019,2019
8283,David Nguyen,12.63,United States,TF3I San Diego 2017,2017
8283,Davide Adamo,12.63,Italy,Salento Cubing Open 2020,2020
8283,Dmitry Malyh,12.63,Russia,Chelny Summer 2019,2019
8283,Eetu Taivalsaari,12.63,Finland,Kotka Open 2011,2011
8283,Geovanny Arias,12.63,Ecuador,Guayaquil Championship 2018,2018
8283,Ignacio Contreras,12.63,Chile,Instituto Nacional Open 2017,2017
8283,Jack Love,12.63,Australia,Bendigo Cube Blitz 2020,2020
8283,Jose Gabriel Alvarez Castrillo,12.63,Costa Rica,Bekubes Gold 2019,2019
8283,Kai Park,12.63,United States,Frankfurt Cube Days 2017,2017
8283,Kirill Petukhov (Кирилл Петухов),12.63,Russia,CCC Qualification SPB 2020,2020
8283,Li Wang (王礼),12.63,China,Beijing Ten Years Open 2017,2017
8283,Mirko Tsakarissianos,12.63,Italy,Italian Championship 2018,2018
8283,Mohammad Mehrab Hosan,12.63,Bangladesh,Knights Cubing Open 2019,2019
8283,Pei-Yin Tien (田沛茵),12.63,Taiwan,Kaohsiung Open 2016,2016
8283,Robbie Cairns,12.63,United Kingdom,Arnold Open 2016,2016
8283,Simone Cilia,12.63,Italy,Italian Championship 2019,2019
8283,Tingpeng Wang (王霆鹏),12.63,China,Xiamen Open 2018,2018
8283,Xuan Chen (陈炫),12.63,China,Hangzhou Autumn 2019,2019
8283,Yanki Mustafa Incel,12.63,Germany,Bremium Winter 2019,2019
8283,Zhenghan Jiao (焦峥涵),12.63,China,Shandong Open 2019,2019
8305,Adam Bruun Faber,12.64,Denmark,Mega Minnesota Winter 2016,2016
8305,Adrian Żyła,12.64,Poland,PST Mielec 2019,2019
8305,Akhmed Umakhanov,12.64,Russia,MPEI Open 2018,2018
8305,Allan Beres,12.64,United States,Severna Park Showdown 2017,2017
8305,Ashley Stone,12.64,United Kingdom,Stratford-upon-Avon Open 2018,2018
8305,Benjamin Lippsmeier,12.64,Switzerland,Swisscubing Cup III 2019,2019
8305,Chang-Jae Lee,12.64,Republic of Korea,Play Cube 2017,2017
8305,Daniel York,12.64,United States,AZCubing Hamilton Winter 2018,2018
8305,Davi Silva Soares Ferreira,12.64,Brazil,Maranhão Open 2015,2015
8305,Denys Bondarchuk (Денис Бондарчук),12.64,Ukraine,Ukrainian Nationals 2014,2014
8305,Eman Shahadi,12.64,Malaysia,Taylor&#39;s Cube 2013,2013
8305,Esteban Noe González Hernández,12.64,Mexico,La Silla 2019,2019
8305,Esteban Palacios,12.64,Guatemala,Speedcubing Academy Xelajú 2019,2019
8305,Jérémie Randrianarisoa,12.64,Canada,Trois-Rivieres 2019,2019
8305,Jose Carlos Barrios Ponce,12.64,Peru,Comas Speedsolving 2019,2019
8305,Justin Ahron De Guzman Cadacio,12.64,Philippines,Pangasinan Speedcubing Open 2017,2017
8305,Ken Smith,12.64,Canada,UBC Open 2019,2019
8305,Khethani Tombs,12.64,United States,Berkeley Summer 2019,2019
8305,Lars Van den broeck,12.64,Belgium,Antwerp Open 2016,2016
8305,Lee Dong-Ju,12.64,Republic of Korea,Cubing Korea December 2011,2011
8305,Marvin Llaneta,12.64,Philippines,RCPO 2014,2014
8305,Nik Bartlett,12.64,New Zealand,Mind Games 2017,2017
8305,Nikolay Ostroukhov,12.64,Russia,MPEI Open 2014,2014
8305,Odinn Logi Gunnarsson,12.64,Iceland,Icelandic Nationals 2019,2019
8305,Pengfei Lin (林鹏飞),12.64,China,Hangzhou Autumn 2016,2016
8305,Richard Ye,12.64,United States,Michigan Cubing Club Delta 2018,2018
8305,Rong Fan (樊榕),12.64,China,Nanjing Spring 2017,2017
8305,Sam Li,12.64,United States,Cubing with the Viking 2020,2020
8305,Santino D&#39;Onofrio,12.64,Argentina,UTN Bisiesto 2020,2020
8305,Sean Franklin,12.64,United States,Severna Park Fall 2016,2016
8305,Siddharth Chhatbar,12.64,India,Tesseract Open 2019,2019
8305,Simon Liang,12.64,United States,Parity at Charis 2020,2020
8305,Thiago Kunrath,12.64,Brazil,Campeonato Brasileiro 2019,2019
8305,Umar Areeb,12.64,United States,Cube4Cam 2016,2016
8305,Valentino Nuñez,12.64,Peru,Torneo Activa Club 2018,2018
8305,Vincent Macalino,12.64,Philippines,Tagum City Open 2017,2017
8305,Yu Xu (徐煜),12.64,China,Beijing Summer 2019,2019
8342,Aleksander Osipov (Александр Осипов),12.65,Russia,MPEI Open 2019,2019
8342,Anna Buhl Bechmann,12.65,Denmark,DSF Generalforsamlingen 2020,2020
8342,Caleb Wong En Yi,12.65,Malaysia,Taylor&#39;s Cube Open 2012,2012
8342,Csenger Molnár,12.65,Hungary,Hungarian Open 2019,2019
8342,Dominik Czechowski,12.65,Poland,Speed Days Kielce 2017,2017
8342,Elliot Daniels,12.65,United States,River Hill Spring 2018,2018
8342,Eyal Zisman,12.65,Israel,Israel Championship 2016,2016
8342,Fanyang Zeng (曾凡洋),12.65,China,Anyang Open 2019,2019
8342,Fayza Facilely Bayuputri,12.65,Indonesia,BSC 10th Anniversary 2019,2019
8342,Giacomo Mastrosimone,12.65,Italy,Budapest Open 2020,2020
8342,Haoyu Chen (陈昊宇),12.65,China,Xiamen Winter 2019,2019
8342,Jintao Lin (林金涛),12.65,China,Xiamen Winter 2019,2019
8342,Kwok Chi Hang (郭志亨),12.65,Hong Kong,China&#39;s 10th Anniversary 2017,2017
8342,Kyle Keating,12.65,United States,Battle of Waterloo 2019,2019
8342,Michał Wachowiak,12.65,Poland,GLS Cup III 2019,2019
8342,Mingxuan Li (李明轩),12.65,China,China Championship 2019,2019
8342,Quentin Sanchez,12.65,France,Only Cube Open 2017,2017
8342,Sadriansyah,12.65,Indonesia,Kota Raja Open 2017,2017
8342,Safwan Zulkarnain Bin Alias,12.65,Malaysia,USM Penang Cube 2019,2019
8342,Shu Yang (杨恕),12.65,China,Shenyang Summer 2018,2018
8342,Vi Van Trieu Nguyen,12.65,United States,BarbeCubing 2018,2018
8342,Yahor Lelenik (Егор Леленик),12.65,Belarus,Happy BSTU Cubing Days 2019,2019
8342,Yanhong Chen (陈燕宏),12.65,China,Beijing Summer 2018,2018
8342,Yingcheng Zhou (周映成),12.65,China,Dongguan Summer 2019,2019
8342,Yuhang Zhang (张宇航),12.65,China,Shandong Open 2019,2019
8342,Yuhao Liu (刘宇豪),12.65,China,Chengdu Winter Open 2018,2018
8368,Angelo Christian Dominic Tan,12.66,Philippines,Bulacan Speedcubing Open 2018,2018
8368,Bradan Allabaugh,12.66,United States,Burke Mountain Cubing 2019,2019
8368,Caleb Hall,12.66,New Zealand,Auckland Summer Open 2020,2020
8368,Carl Fiig Jarner,12.66,Denmark,Roskilde by Vote 2016,2016
8368,Christopher Brandariz,12.66,United States,BASC 6 2015,2015
8368,Clement Chieng Jin Xuan,12.66,Malaysia,Singapore Championship 2018,2018
8368,Ezaldea Carla M. Fernandez,12.66,Philippines,Baguio City Open 2017,2017
8368,Gage Coon,12.66,United States,Big Cubes for Dunwoody 2020,2020
8368,Gaurav Taneja,12.66,India,Mumbai Open 2014,2014
8368,Jesús Isaac Díaz González,12.66,Mexico,La Silla II 2019,2019
8368,Jingyi Wang (王静怡),12.66,China,China Championship 2015,2015
8368,Juan Pablo Ramírez,12.66,Colombia,Speedcube Aves María 2020,2020
8368,Mudit Mathur,12.66,United States,Slow N Steady Winter 2016,2016
8368,Ömer Furkan Günler,12.66,Turkey,Ankara Fall 2020,2020
8368,Oscar Sánchez Najarro,12.66,Spain,Arnold Classic Europe 2019,2019
8368,Renzo Sebastian Tinoco Seperak,12.66,Peru,Peru Nationals 2019,2019
8368,Roel Hoogeveen,12.66,Netherlands,Dutch Masters 2020,2020
8368,Shakohentehtha Elijah,12.66,United States,Canandaigua Winter 2020,2020
8368,Theo Kirby,12.66,United Kingdom,Welsh Open 2019,2019
8368,Trịnh Thái Dương,12.66,Vietnam,HCMC Pro League 2019,2019
8368,Yahya Reza,12.66,Indonesia,East Borneo Open 2011,2011
8368,Yexin Zhang (张业鑫),12.66,China,Anyang Open 2019,2019
8368,Yifei Tang (唐逸飞),12.66,China,Nanjing Spring 2018,2018
8368,Yuhao Wang (王煜皓),12.66,China,Qingdao Open 2018,2018
8368,Yuxin Wang (王雨欣),12.66,China,Chengdu Winter 2019,2019
8368,Zeqi Gao (高泽琦),12.66,China,Shandong Open 2019,2019
8368,Zhanat Kazez (Жанат Казез),12.66,Kazakhstan,Cubing Semey Open 2019,2019
8395,Benjamin Yang,12.67,United States,West LA Winter 2020,2020
8395,Bobby Mapp,12.67,United States,Rally in the Valley 2019,2019
8395,Bruno Reich Amorim,12.67,Brazil,Brasileiro 2016,2016
8395,Daniel Marino,12.67,United States,Weston Fall 2017,2017
8395,Daniel Torrejón Garay,12.67,Bolivia,Ekeko Rubik 2018,2018
8395,Dat Dang,12.67,United States,Whale Sounds 2018,2018
8395,David Sánchez Serrano,12.67,Spain,Spanish Championship 2019,2019
8395,Dawid Kmak,12.67,Poland,ŚLS Wodzisław Śląski 2015,2015
8395,Eduardo Munive,12.67,Peru,Palacio del Cubo 2019,2019
8395,Florian Heerra,12.67,France,World Championship 2017,2017
8395,Frieda Leung Wing Yan (梁詠欣),12.67,Hong Kong,Shenzhen Open 2018,2018
8395,Guicong Zhang (张桂聪),12.67,China,Jieyang Open 2019,2019
8395,Hari Anirudh,12.67,India,Cubing Kerala Winter Open 2017,2017
8395,Jason Kochan,12.67,United States,West Branch Summer 2019,2019
8395,Kamil Michalak,12.67,Poland,CFL Santa Claus Cube Race 2017,2017
8395,Kyle Yamamoto,12.67,United States,Howland Winter 2018,2018
8395,Lorenz Kerber,12.67,Germany,Franconia Fall 2019,2019
8395,Luis Francisco Gamboa,12.67,Colombia,Torneo UPN 2014,2014
8395,Mateusz Balawajder,12.67,Poland,ŚLS Wodzisław Śląski 2015,2015
8395,Muhammad Dipa Budiono,12.67,Indonesia,Jakarta Open 2020,2020
8395,Osvaldo Sánchez,12.67,Mexico,Fénix 2014,2014
8395,Raphael Riener,12.67,Austria,Franconia Winter 2020,2020
8395,Svante Lundin,12.67,Sweden,SSL Final Borås 2017,2017
8395,Volodymyr Solonka (Володимир Солонка),12.67,Ukraine,Ukrainian Nationals 2019,2019
8395,Wong Ming Hin,12.67,Singapore,Singapore Championship 2019,2019
8395,Yangshuo Teng (滕仰硕),12.67,China,Xiamen Winter 2019,2019
8395,Yann Droy,12.67,France,Lyon Megaminx Open 2016,2016
8395,Yifan Jiang (姜一帆),12.67,China,Tangshan Open 2019,2019
8395,Yuhao Chen (陈宇豪),12.67,China,Beijing Winter 2019,2019
8424,Ander Chocarro Salaberria,12.68,Spain,Urnieta Open 2019,2019
8424,Andrey Eloy Valero,12.68,Venezuela,Speedcubing Mérida 2016,2016
8424,Angel Anaya,12.68,United States,Houston Winter 2020,2020
8424,Arif Zafer,12.68,Turkey,Helsinki Open 2020,2020
8424,Benjamin Loeb,12.68,United States,Slow N Steady Fall 2016,2016
8424,Bo-Yu Lin (林柏佑),12.68,Taiwan,Maru Cube Day 2019,2019
